2018-12-21 12:22:42,b'RT @FUNBBTV: Ride with Santa Claus in a 360 video (https://t.co/8spMPvlVQr)\n#youtube #kids #SantaClaus #VR #360video https://t.co/7OS4FwgaZv'
2018-12-21 12:22:39,"b'RT @FUNBBTV: Our 360 VR Video on Dinosaur has hit more than 125,000 views on  YouTube (\xe2\x9e\xa1\xef\xb8\x8f link to watch the video :https://t.co/XtxbCZwQHf\xe2\x80\xa6'"
2018-12-21 12:22:33,b'RT @FUNBBTV: Our video to learn Animals with Lapins Cr\xc3\xa9tins on YouTube (\xe2\x9e\xa1\xef\xb8\x8f link to watch the video : https://t.co/wnGLsSFLkj  ) has hit mor\xe2\x80\xa6'
2018-12-21 12:22:30,b'RT @Knautschzon3: Im Now live on Twitch with Subnautica https://t.co/5P3llqIGQ2 #primenight #Supportstreamers #twitchde #StreamAcademy #twi\xe2\x80\xa6'
2018-12-21 12:22:26,"b""RT @AllAboutLiu: Hi everyone! Can we all help promote Sungmin's #Youtube channel? I think it would be a great birthday gift for him from al\xe2\x80\xa6"""
2018-12-21 12:22:13,b'January 1st 2019 i have some stuff to share on my music channel on #youtube. So subscribe today. https://t.co/XiI2DfECij'
2018-12-21 12:22:02,b'Today\xe2\x80\x99s #DoNotFeedTheMonkeys videos up in a bit #Youtube\nhttps://t.co/dSZSquoiKg'
2018-12-21 12:22:02,b'RT @SteelToed_Boots: Pretty sure no one of importance is at work today so we shall call this day \xe2\x80\x9cEmployee Appreciation Day\xe2\x80\x9d #MerryChristma\xe2\x80\xa6'
2018-12-21 12:21:56,b'Come play moomoo with me https://t.co/NcTiiGLt9r #moomooio #gaming #youtube'
2018-12-21 12:21:34,b'RT @thejtgjack: Transport Fever Ep 13 now Live!\n\n#Transportfever #youtube #youtuber #streamer #gamer #twitchaffiliate https://t.co/ZanXtMQE\xe2\x80\xa6'
2018-12-21 12:21:21,"b""How long will you talk about it?!\n\nDon't forget to subscribe! Blessings ;)\n\nI've been spending more time on YouTube\xe2\x80\xa6 https://t.co/Yyg5OuKqcZ"""
2018-12-21 12:21:20,b'spending lot of efforts on YouTube video and not getting views? Here is solution to your problem. Order Now\xe2\x80\xa6 https://t.co/L31zGbkUBB'
2018-12-21 12:21:04,"b'RT @KBSWorldTV: [KBS World #Youtube] All the GOT7 FANS #AGASE , Enjoy it!! #GOT7 [#MusicBank Stage Mix Ver.] https://t.co/gkQxiCbsdo'"
2018-12-21 12:20:21,b'RT @JuliusAigner: @Gotham \n@GothamTVWriters\n@GothamAddicts  Here is my newest #GothamSeason5 promo for my tribute! it will come Jan 3rd onl\xe2\x80\xa6'
2018-12-21 12:20:14,b'RT @Jessica_Chat30: \xf0\x9f\x99\x8fFollow my Social Media\xf0\x9f\x99\x8f\n\nYouTube Link\xf0\x9f\x86\x95\xf0\x9f\x8e\xa5\xf0\x9f\x86\x95 \xe2\xac\x86\xe2\xac\x86\xe2\xac\x86\n\nFind Me on Facebook \nhttps://t.co/BSF5LpBlnH\nFind Me on Twitter\n(@Jessic\xe2\x80\xa6'
2018-12-21 12:20:05,b'Presave now my new #single and join the #contest! You can win 1 #free month of #Spotify #Youtube Music or #Netflix!\xe2\x80\xa6 https://t.co/nODqQMgAT7'
2018-12-21 12:20:02,b'If #Youtube had #SmellyVision this video would be #GreaseMonkey #Heaven \xf0\x9f\x91\x8d\xf0\x9f\x98\x8e\xf0\x9f\xa4\xa0'
2018-12-21 12:20:00,"b'RT @BaconCheddarYT: \xf0\x9f\x87\xa8\xf0\x9f\x87\xadSwiss or Not? \xf0\x9f\x87\xa8\xf0\x9f\x87\xad\nNEW BLIND TASTE TEST! \xf0\x9f\x94\xa5 She claims to be a chocolate expert (at eating), soo... did she come through\xe2\x80\xa6'"
2018-12-21 12:19:45,"b'\xf0\x9f\x94\xa5 NEW 2,500 $ABET #GIVEAWAY by @altbetofficial \xf0\x9f\x94\xa5 (= 2,500 $USD)\n\n\xe2\x9c\x85 ENTER BELOW\n\xe2\x9c\x85 LIKE &amp; SHARE\n\xe2\x9c\x85 Post a YOUTUBE &amp;/OR\xe2\x80\xa6 https://t.co/gYhCy3tx8v'"
2018-12-21 12:19:44,b'The most hated @YouTube\nR on #youtube #Youtuber\n\nhttps://t.co/LLaJUv1kVy'
2018-12-21 12:19:40,b'Have you checked out out my youtube channel? I would love to see you over there! https://t.co/Cd2JnvKh1m #youtube\xe2\x80\xa6 https://t.co/a8DFYMPJLt'
2018-12-21 12:19:25,b'RT @bosthen76: Sarah Vaughan \n\xc2\xabWhatever Lola Wants\xc2\xbb\n\n#Sassy\n#jazz\n\n#YouTube \n\nhttps://t.co/68DO8LIpeC\n\n\xc2\xa9 Ted Williams https://t.co/L9vZqDK8\xe2\x80\xa6'
2018-12-21 12:19:15,b'RT @fowl_original: Want to say a big thankyou to all the new followers in the TL as we grow on twitter \xf0\x9f\x91\x8b\n\nAlso big thankyou to the new #sub\xe2\x80\xa6'
2018-12-21 12:19:12,b'RT @SoStarMusic: \xf0\x9f\x8e\xbc#Music #NewMusicAlert \xf0\x9f\x8e\xa7#Mp3 #YouTube #NewMusic\n#Share #LoveMusic #MusicIsLife \n\nRomancing the Beat ~ So-Star ft. Krena De\xe2\x80\xa6'
2018-12-21 12:19:03,"b""https://t.co/LjeY1lLyXe \nSome dreams don't let you sleep. Some dream of great fortunes, some of perfection. Everyon\xe2\x80\xa6 https://t.co/ujWQ9oJth8"""
2018-12-21 12:18:54,b'Check out the #Youtube channel. Going to be more consistent putting out #Fortnite videos. \n\nMainly going to be mont\xe2\x80\xa6 https://t.co/QYYJurX1JW'
2018-12-21 12:18:54,b'RT @TurnAroundDoc: Are you hungry or greedy?\n\n#4amclub #60SecondStrategy #DrDonnaThomasRodgers #TurnAroundDoctor #TurnAroundEffect #BecomeA\xe2\x80\xa6'
2018-12-21 12:18:42,b'RT @exploringwhkurt: https://t.co/cnPRGwmTiP new video is live #urbanexploring #urbex #urbanexploration #youtube #abandonedplaces #abandone\xe2\x80\xa6'
2018-12-21 12:18:20,"b'RT @PandaPiTW: We have another new video, Panda Pi and the Big Blue Dragon! Watch what happens when Panda Pi and his friends meet a scary d\xe2\x80\xa6'"
2018-12-21 12:18:09,"b""#Lambs Our Goals from now till next #Friday are this\n\n 1, Stream #AllIWantForChristmasIsYou and gain back #Mariah's\xe2\x80\xa6 https://t.co/87xIPtWN9e"""
2018-12-21 12:17:50,b'RT @fanscott1234: #Gamers on #twitch Please follow me on #Twitter  I trying my best to support gamers everyday on twitch and Twitter and #Y\xe2\x80\xa6'
2018-12-21 12:17:14,b'Tonight 8 pm only on The comedy mall\n\n#the #youtube #vijay #zero https://t.co/hwb34hJAA7'
2018-12-21 12:17:12,b'Free #Youtube Views #vagex https://t.co/fp7p3zn9nC'
2018-12-21 12:16:47,b'Grow your #Youtube\n1 #retweet\n2 #Comment your link down below\n3 #Follow and #Sub each other so we can grow together\xe2\x80\xa6 https://t.co/D25smjqutb'
2018-12-21 12:16:03,b'RT @intheMatrixxx: Please subscribe to my #Youtube channel. Something BIG is about to drop!!\n\nStay tuned! \n\nhttps://t.co/YgEcSylyXE\n\n@POTUS\xe2\x80\xa6'
2018-12-21 12:15:58,b'Sorry for the #delay of my new episode of #SpencerKarterFiles and other #YouTube #Videos on my #SpencerKarter\xe2\x80\xa6 https://t.co/03D2vyeBqn'
2018-12-21 12:15:27,b'Pretty sure no one of importance is at work today so we shall call this day \xe2\x80\x9cEmployee Appreciation Day\xe2\x80\x9d\xe2\x80\xa6 https://t.co/ip4C2NoW2m'
2018-12-21 12:15:13,b'Help me get to 1000 subscribers! Please subscribe to my YouTube Channel: https://t.co/QapI0wxzOe Thank you!! #youtube'
2018-12-21 12:15:13,b'Go subscribe to my YouTube channel! #YouTube https://t.co/fLekXsFWVc'
2018-12-21 12:14:58,"b'RT @KBSWorldTV: [KBS World #Youtube] All the GOT7 FANS #AGASE , Enjoy it!! #GOT7 [#MusicBank Stage Mix Ver.] https://t.co/gkQxiCbsdo'"
2018-12-21 12:14:57,b'RT @Ward7011: New HipHop Rap Music Video Artist 2019 https://t.co/84PO8c8xrB\n#4ThaFetti \xf0\x9f\x8e\xb5\xf0\x9f\x8e\xb6\xf0\x9f\x8e\xa5\n#NewMusic #NP on #YouTube #SoundCloud #ListenTo\xe2\x80\xa6'
2018-12-21 12:14:42,"b'RT @Latinvixen: Aibo and fursuits, first look at the Sony aibo ers 1000. Video soon \xf0\x9f\x98\x8a #sony #sonyaibo #aibo #fursuit #YouTube https://t.co/\xe2\x80\xa6'"
